source,target
 Proportion of individuals who own mobile phones individually by sex.,Reason business doesn't use mobile money 
 Proportion of individuals who own mobile phones individually by sex.,Reason business started using mobile money 
 Proportion of individuals who own mobile phones individually by sex.,Receives SMS/ text messages 
 Proportion of individuals who own mobile phones individually by sex.,Sales increased with use of mobile money? 
 Proportion of individuals who own mobile phones individually by sex.,Sends SMS/ text messages 
 Proportion of individuals who own mobile phones individually by sex.,Sends/ receives money via mobile money? 
 Proportion of individuals who own mobile phones individually by sex.,Uses mobile money to pay suppliers outside city 
 Proportion of individuals who own mobile phones individually by sex.,Uses mobile phones? 
 Proportion of individuals who own mobile phones individually by sex.,Would be better if suppliers from other countries could be paid via mobile money? 
 Proportion of individuals who own mobile phones jointly by sex.,Amount business is willing to spend on fixed line phone 
 Proportion of individuals who own mobile phones jointly by sex.,Amount spent monthly on mobile phones 
 Proportion of individuals who own mobile phones jointly by sex.,Bank offers mobile banking? 
 Proportion of individuals who own mobile phones jointly by sex.,Business information safe with mobile money services? 
 Proportion of individuals who own mobile phones jointly by sex.,"Cost of telephone calls, fax, postage and internet "
 Proportion of individuals who own mobile phones jointly by sex.,How business communicates with customers 
 Proportion of individuals who own mobile phones jointly by sex.,How business communicates with suppliers 
 Proportion of individuals who own mobile phones jointly by sex.,How often business communicates with suppliers 
 Proportion of individuals who own mobile phones jointly by sex.,How often receives payments with mobile money 
 Proportion of individuals who own mobile phones jointly by sex.,Largest amount received with mobile money 
 Proportion of individuals who own mobile phones jointly by sex.,Largest amount sent with mobile money 
 Proportion of individuals who own mobile phones jointly by sex.,Main purpose for using SMS/ texts 
 Proportion of individuals who own mobile phones jointly by sex.,Main reason for not using mobile phones 
 Proportion of individuals who own mobile phones jointly by sex.,Number of employees with mobile phones 
 Proportion of individuals who own mobile phones jointly by sex.,Number of fixed line telephone connections 
 Proportion of individuals who own mobile phones jointly by sex.,Panning to use mobile phones in the future? 
 Proportion of individuals who own mobile phones jointly by sex.,Period using mobile money for transactions with suppliers 
 Proportion of individuals who own mobile phones jointly by sex.,Planning to use mobile money in future? 
 Proportion of individuals who own mobile phones jointly by sex.,Preferred mode of communicating with customers 
 Proportion of individuals who own mobile phones jointly by sex.,Preferred mode of communicating with suppliers 
 Proportion of individuals who own mobile phones jointly by sex.,Reason business doen't have a fixed line phone 
 Proportion of individuals who own mobile phones jointly by sex.,Reason business doesn't use mobile money 
 Proportion of individuals who own mobile phones jointly by sex.,Reason business started using mobile money 
 Proportion of individuals who own mobile phones jointly by sex.,Receives SMS/ text messages 
 Proportion of individuals who own mobile phones jointly by sex.,Sales increased with use of mobile money? 
 Proportion of individuals who own mobile phones jointly by sex.,Sends SMS/ text messages 
 Proportion of individuals who own mobile phones jointly by sex.,Sends/ receives money via mobile money? 
 Proportion of individuals who own mobile phones jointly by sex.,Uses mobile money to pay suppliers outside city 
 Proportion of individuals who own mobile phones jointly by sex.,Uses mobile phones? 
 Proportion of individuals who own mobile phones jointly by sex.,Would be better if suppliers from other countries could be paid via mobile money? 
 Proportion of the population owning land jointly by sex of owner.,"Cost of rent, land taxes, mortgage payments "
 Proportion of the population with access to financial services by sex.,Bank offers internet banking? 
 Proportion of young people (NEET - Neither in Employment nor in Education Training) by sex. ,Ever attended training to improve business skills? 
 Proportion of young people (NEET - Neither in Employment nor in Education Training) by sex. ,Major business obstacles 
 Proportion of young people (NEET - Neither in Employment nor in Education Training) by sex. ,Owner's highest level of education 
 Proportion of young people (NEET - Neither in Employment nor in Education Training) by sex. ,Who organised training 
% population with access toelectricity,Premises have electricity? 
% population with access toelectricity,Water/ electricity costs 
"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",Bank branch is too far? 
"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",Bank services are slow? 
"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",Bank understands business needs? 
"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",Reason business doesn't use a bank account 
"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",Spend too much time at bank? 
"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",Supplier gets paid faster so goods are delivered faster? 
"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",Type of bank accout 
"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",Unhappy with services offered by bank? 
"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",Ways of sending and receiving money used 
"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",Would receive higher amounts if allowed 
"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",Would send higher amounts if allowed 
Access to electricity (% of population),Premises have electricity? 
"Access to electricity, rural (% of rural population)",Premises have electricity? 
"Access to electricity, urban (% of urban population)",Premises have electricity? 
Account at a financial institution (% age 15+),Bank is expensive? 
Account at a financial institution (% age 15+),Has a bank account? 
Account at a financial institution (% age 15+),Has line of credit facilities with suppliers? 
Account at a financial institution (% age 15+),Offers credit line facility to customers 
Account at a financial institution (% age 15+),Period been banking with current bank
Account at a financial institution (% age 15+),Reason business doesn't use a bank account 
Account at a financial institution (% age 15+),Reason was rejected for a business loan 
Account at a financial institution (% age 15+),Spend too much time at bank? 
Account at a financial institution (% age 15+),Type of bank accout 
Account at a financial institution (% age 15+),Unhappy with services offered by bank? 
Adjusted net national income (annual % growth),Net profit of business 
Adjusted savings: consumption of fixed capital (% of GNI),Net profit of business 
Adjusted savings: consumption of fixed capital (% of GNI),Pays tax on profits? 
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,Water/ electricity costs 
"Automated teller machines (ATMs) (per 100,000 adults)",Transacts financially with customers? 
"Automated teller machines (ATMs) (per 100,000 adults)",Transacts financially with suppliers? 
"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities",Compensates employees for airtime? 
"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities",Number of employees 
"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities",plan to employ more or less? 
Average size per production system,Size of suppliers 
Bank liquid reserves to bank assets ratio (%),Total value of fixed assets 
"Broad money
(M2)",Plan to invest more or less? 
"Broad Money
(M3)",Plan to invest more or less? 
Business extent of disclosure index (0=less disclosure to 10=more disclosure),Form of ownership 
Business extent of disclosure index (0=less disclosure to 10=more disclosure),Number of owners 
Change in the extent of water-related ecosystems over time,Water/ electricity costs 
Change in water-use efficiency over time,Water/ electricity costs 
Changes in inventories (constant LCU),Expected business performance 
Changes in inventories (current LCU),Expected business performance 
Changes in inventories (current US$),Expected business performance 
"Children in employment, self-employed (% of children in employment, ages 7-14)",Number of employees 
"Children in employment, self-employed (% of children in employment, ages 7-14)",Number of owners 
"Children in employment, self-employed (% of children in employment, ages 7-14)",plan to employ more or less? 
"Children in employment, wage workers (% of children in employment, ages 7-14)",Compensates employees for airtime? 
"Children in employment, wage workers (% of children in employment, ages 7-14)",Employees with written employment contract 
"Children in employment, wage workers (% of children in employment, ages 7-14)",Number of employees 
"Children in employment, wage workers (% of children in employment, ages 7-14)",plan to employ more or less? 
"Children in employment, wage workers (% of children in employment, ages 7-14)",Wage bill 
CPIA business regulatory environment rating (1=low to 6=high),Major business obstacles 
CPIA business regulatory environment rating (1=low to 6=high),Preferred method pf conducting business 
CPIA business regulatory environment rating (1=low to 6=high),Reason for starting business 
CPIA business regulatory environment rating (1=low to 6=high),Separates business and personal finances? 
CPIA business regulatory environment rating (1=low to 6=high),Who is relied on for tips and advice on business 
CPIA business regulatory environment rating (1=low to 6=high),Year business was established 
CPIA efficiency of revenue mobilization rating (1=low to 6=high),Mobile money imroved efficiency of the business 
CPIA financial sector rating (1=low to 6=high),Don't understand fees and charges? 
CPIA structural policies cluster average (1=low to 6=high),Major business obstacles 
CPIA structural policies cluster average (1=low to 6=high),Preferred method pf conducting business 
CPIA structural policies cluster average (1=low to 6=high),Separates business and personal finances? 
Debt service as a proportion of exports of goods and services,Average amount awed by customers 
Debt service as a proportion of exports of goods and services,Average amount awed to suppliers 
Debt service as a proportion of exports of goods and services,Has customers in other countries? 
Degree of integrated water resources management implementation (0-100),Water/ electricity costs 
Deposit interest rate (%),Bank understands business needs? 
Deposit interest rate (%),Considering changing banks? 
Ease of doingbusiness ranking,Rate current performance of business 
Electricity coverage,Premises have electricity? 
Electricity coverage,Water/ electricity costs 
Electricity production from hydroelectric sources (% of total),Premises have electricity? 
Electricity production from natural gas sources (% of total),Premises have electricity? 
Electricity production from nuclear sources (% of total),Premises have electricity? 
Electricity production from oil sources (% of total),Premises have electricity? 
Firms formally registered when operations started (% of firms),Business Activity 
Firms formally registered when operations started (% of firms),Business Registered? 
Firms using banks to finance investment (% of firms),How start up capital was financed 
Firms using banks to finance investment (% of firms),Period been banking with current bank
Firms using banks to finance working capital (% of firms),How start up capital was financed 
Firms using banks to finance working capital (% of firms),Period been banking with current bank
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Amount business is willing to spend on computers 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Amount business is willing to spend on internet per month 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Bank offers internet banking? 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Business owns computers? 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed","Cost of telephone calls, fax, postage and internet "
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Has internet access? 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Has website? 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Importance of using computers 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Importance of using internet for business 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Internet download speed 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Internet halps increase sales and customers? 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Internet helps business understand customers better? 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Internet helps keep pace with competition? 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Internet helps widen supplier network? 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Monthly cost of internet 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Number of people that use the internet 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Plan to use internet in the future? 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Plans to purchase computers in future? 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Potential obstacles to use of internet 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Purchased product/ services via internet? 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Reason business doesn't have computers 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Reason business doesn't have internet access 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Type of internet access 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",What internet is used for 
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",Who can use the internet? 
Fixed telephone subscriptions,Amount business is willing to spend on fixed line phone 
Fixed telephone subscriptions,Amount spent monthly on mobile phones 
Fixed telephone subscriptions,"Cost of telephone calls, fax, postage and internet "
Fixed telephone subscriptions,Has fixed line telephone connection 
Fixed telephone subscriptions,Importance of using fixed line phones 
Fixed telephone subscriptions,Number of fixed line telephone connections 
Fixed telephone subscriptions,Reason business doen't have a fixed line phone 
"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget",Amount invested in last 12 months 
Global Competitiveranking,Rate current performance of business 
Gross Fixed Capital Formation by economic sector,Net profit of business 
"Gross fixed capital formation, private sector (% of GDP)",Total value of fixed assets 
"Human Skills
Index",Ever attended training to improve business skills? 
"ICT service exports (% of service exports, BoP)","Cost of telephone calls, fax, postage and internet "
"ICT service exports (% of service exports, BoP)",Has postal address? 
Import duty and other taxesreduced by x % for 3 years for newinvestments,Amount invested in last 12 months 
Import duty and other taxesreduced by x % for 3 years for newinvestments,Pays local taxes? 
Import duty and other taxesreduced by x % for 3 years for newinvestments,Registered for VAT/ sales tax? 
Improve in incomedistribution (GINI Coefficient),Amount received on average per transaction 
Improve in incomedistribution (GINI Coefficient),Net profit of business 
Inactivity rate,Expected business performance 
Increase in % of mobile linesubscriptions,Bank offers mobile banking? 
Increase in % of mobile linesubscriptions,Business information safe with mobile money services? 
Increase in % of mobile linesubscriptions,Importance of using mobile phones 
Increase in % of mobile linesubscriptions,Largest amount received with mobile money 
Increase in % of mobile linesubscriptions,Largest amount sent with mobile money 
Increase in % of mobile linesubscriptions,Main purpose for using SMS/ texts 
Increase in % of mobile linesubscriptions,Main reason for not using mobile phones 
Increase in % of mobile linesubscriptions,Monthly cost of fixed line access and usage 
Increase in % of mobile linesubscriptions,Panning to use mobile phones in the future? 
Increase in % of mobile linesubscriptions,Period using mobile money for transactions with suppliers 
Increase in % of mobile linesubscriptions,Planning to use mobile money in future? 
Increase in % of mobile linesubscriptions,Preferred mode of communicating with customers 
Increase in % of mobile linesubscriptions,Preferred mode of communicating with suppliers 
Increase in % of mobile linesubscriptions,Reason business doesn't use mobile money 
Increase in % of mobile linesubscriptions,Reason business started using mobile money 
Increase in % of mobile linesubscriptions,Receives SMS/ text messages 
Increase in % of mobile linesubscriptions,Sales increased with use of mobile money? 
Increase in % of mobile linesubscriptions,Sends SMS/ text messages 
Increase in % of mobile linesubscriptions,Sends/ receives money via mobile money? 
Increase in % of mobile linesubscriptions,Uses mobile money to pay suppliers outside city 
Increase in % of mobile linesubscriptions,Uses mobile phones? 
Increase in % of mobile linesubscriptions,Would be better if suppliers from other countries could be paid via mobile money? 
Increase in labour force in industrial sector.,Plan to use computers in future? 
Increase in labour force in industrial sector.,Plans to purchase computers in future? 
Increase in labour force in industrial sector.,Reason business doesn't have computers 
Increase in labour force in service sector.,Plan to use computers in future? 
Increase in labour force in service sector.,Plans to purchase computers in future? 
Increase in labour force in service sector.,Reason business doesn't have computers 
Increase in ratio of manufactured exports tototal exports,Has customers in other countries? 
Increase in total employment.,Agents far from location 
Increase in total employment.,Agents opening hours not convenient 
Increase inProportionof electricityconsumed byindustrial andcommercialsector,Premises have electricity? 
Increase inProportionof electricityconsumed byindustrial andcommercialsector,Water/ electricity costs 
Increased Proportion offunctional railway network,Has local area network? 
Increased Ratio of nationalbudget allocated STI (R&D) andICT,Amount invested in ICT in last 12 months 
Increased Ratio of nationalbudget allocated STI (R&D) andICT,Business owns computers? 
Individuals using the Internet (% of population),Has internet access? 
Individuals using the Internet (% of population),Importance of using internet for business 
Individuals using the Internet (% of population),Internet download speed 
Individuals using the Internet (% of population),Internet halps increase sales and customers? 
Individuals using the Internet (% of population),Internet helps business understand customers better? 
Individuals using the Internet (% of population),Internet helps keep pace with competition? 
Individuals using the Internet (% of population),Internet helps widen supplier network? 
Individuals using the Internet (% of population),Monthly cost of internet 
Individuals using the Internet (% of population),Number of people that use the internet 
Individuals using the Internet (% of population),Number of working computers 
Individuals using the Internet (% of population),People that can use the computers 
Individuals using the Internet (% of population),Plan to use internet in the future? 
Individuals using the Internet (% of population),Purchased product/ services via internet? 
Individuals using the Internet (% of population),Reason business doesn't have internet access 
Individuals using the Internet (% of population),Received orders via internet? 
Individuals using the Internet (% of population),Type of internet access 
Individuals using the Internet (% of population),Uses Anti- Virus software? 
Individuals using the Internet (% of population),Uses Inventory Control Software? 
Individuals using the Internet (% of population),What internet is used for 
Individuals using the Internet (% of population),Who can use the internet? 
International Outgoing mobile telephone traffic,Barriers for businesses using mobile money 
International Outgoing mobile telephone traffic,Has fixed line telephone connection 
International Outgoing mobile telephone traffic,Importance of using fixed line phones 
International Outgoing mobile telephone traffic,Uses mobile money to pay suppliers outside city 
International Outgoing mobile telephone traffic,Uses mobile phones? 
Internet penetration,Amount business is willing to spend on internet per month 
Internet penetration,Bank offers internet banking? 
Internet penetration,Barriers for businesses using mobile money 
Internet penetration,"Cost of telephone calls, fax, postage and internet "
Internet penetration,Has internet access? 
Internet penetration,Has website? 
Internet penetration,Importance of using computers 
Internet penetration,Importance of using internet for business 
Internet penetration,Internet download speed 
Internet penetration,Internet halps increase sales and customers? 
Internet penetration,Internet helps business understand customers better? 
Internet penetration,Internet helps keep pace with competition? 
Internet penetration,Internet helps widen supplier network? 
Internet penetration,Number of people that use the internet 
Internet penetration,Number of working computers 
Internet penetration,Plan to use internet in the future? 
Internet penetration,Plans to purchase computers in future? 
Internet penetration,Potential obstacles to use of internet 
Internet penetration,Purchased product/ services via internet? 
Internet penetration,Reason business doesn't have computers 
Internet penetration,Reason business doesn't have internet access 
Internet penetration,Type of internet access 
Internet penetration,What internet is used for 
Internet penetration,Who can use the internet? 
Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services,Amount invested in last 12 months 
Labour cost index,Major business obstacles 
Labour cost index,Major obstacle for using ICT for business 
Labour force participation rate,Major business obstacles 
Labour force participation rate,Major obstacle for using ICT for business 
"Labour share of GDP, comprising wages and social protection transfers",Agents opening hours not convenient 
"Labour share of GDP, comprising wages and social protection transfers",Compensates employees for airtime? 
"Labour share of GDP, comprising wages and social protection transfers",plan to employ more or less? 
"Labour share of GDP, comprising wages and social protection transfers",Wage bill 
Literacy rate,Business manager highest level of education 
Literacy rate,Importance of using computers 
"Literacy rate, adult female (% of females ages 15 and above)",Business manager highest level of education 
Mobile cellular telephone subscriptions (post-paid + prepaid),"Cost of telephone calls, fax, postage and internet "
Mobile cellular telephone subscriptions (post-paid + prepaid),Has fixed line telephone connection 
Mobile cellular telephone subscriptions (post-paid + prepaid),Importance of using fixed line phones 
Mobile cellular telephone subscriptions (post-paid + prepaid),Importance of using mobile phones 
Mobile cellular telephone subscriptions (post-paid + prepaid),Main purpose for using SMS/ texts 
Mobile cellular telephone subscriptions (post-paid + prepaid),Main reason for not using mobile phones 
Mobile cellular telephone subscriptions (post-paid + prepaid),Manager has a mobile phone? 
Mobile cellular telephone subscriptions (post-paid + prepaid),Monthly cost of fixed line access and usage 
Mobile cellular telephone subscriptions (post-paid + prepaid),Reason business doen't have a fixed line phone 
Mobile cellular telephone subscriptions (post-paid + prepaid),Receives SMS/ text messages 
Mobile cellular telephone subscriptions (post-paid + prepaid),Sends SMS/ text messages 
Mobile cellular telephone subscriptions (post-paid + prepaid),Uses mobile phones? 
"Net financial
worth",Ever been rejected for a business loan 
"Net financial
worth",Reason was rejected for a business loan 
Net lending as a percentage  of GDP,"Cost of rent, land taxes, mortgage payments "
Net Lending/ Repayments,"Cost of rent, land taxes, mortgage payments "
"Net lending/
borrowing","Cost of rent, land taxes, mortgage payments "
"New business density (new registrations per 1,000 people ages 15-64)",Reason for starting business 
"New business density (new registrations per 1,000 people ages 15-64)",Total sales of business 
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",How business advertises 
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",How business communicates with customers 
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",How business communicates with suppliers 
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",How often business communicates with suppliers 
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",Records for own planning or for revenue authority? 
"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",Business manager highest level of education 
"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",Owner's highest level of education 
Number of Domestic EMS(Emergency Mail Services),Manager has an email address 
Number of Domestic Registered mail,Manager has an email address 
Number of estimated Internet users,Amount business is willing to spend on internet per month 
Number of estimated Internet users,Bank offers internet banking? 
Number of estimated Internet users,"Cost of telephone calls, fax, postage and internet "
Number of estimated Internet users,Has internet access? 
Number of estimated Internet users,Importance of using internet for business 
Number of estimated Internet users,Internet download speed 
Number of estimated Internet users,Internet halps increase sales and customers? 
Number of estimated Internet users,Internet helps business understand customers better? 
Number of estimated Internet users,Monthly cost of internet 
Number of estimated Internet users,Number of people that use the internet 
Number of estimated Internet users,Number of working computers 
Number of estimated Internet users,Plan to use internet in the future? 
Number of estimated Internet users,Purchased product/ services via internet? 
Number of estimated Internet users,Reason business doesn't have internet access 
Number of estimated Internet users,Type of internet access 
Number of estimated Internet users,What internet is used for 
Number of estimated Internet users,Who can use the internet? 
Number of fixed internet subscribers,Amount business is willing to spend on internet per month 
Number of fixed internet subscribers,"Cost of telephone calls, fax, postage and internet "
Number of fixed internet subscribers,Has internet access? 
Number of fixed internet subscribers,Importance of using internet for business 
Number of fixed internet subscribers,Internet download speed 
Number of fixed internet subscribers,Internet halps increase sales and customers? 
Number of fixed internet subscribers,Internet helps business understand customers better? 
Number of fixed internet subscribers,Monthly cost of internet 
Number of fixed internet subscribers,Number of people that use the internet 
Number of fixed internet subscribers,People that can use the computers 
Number of fixed internet subscribers,Plan to use internet in the future? 
Number of fixed internet subscribers,Purchased product/ services via internet? 
Number of fixed internet subscribers,Reason business doesn't have internet access 
Number of fixed internet subscribers,Received orders via internet? 
Number of fixed internet subscribers,Type of internet access 
Number of fixed internet subscribers,What internet is used for 
Number of fixed internet subscribers,Who can use the internet? 
Number of Fixed telephone lines,Has fixed line telephone connection 
Number of Fixed telephone lines,Importance of using fixed line phones 
Number of land transactions registered,"Cost of rent, land taxes, mortgage payments "
Number of land transactions registered,Transacts financially with customers? 
Number of land transactions registered,Transacts financially with suppliers? 
Number of mobile internet subscribers,Amount business is willing to spend on internet per month 
Number of mobile internet subscribers,Barriers for businesses using mobile money 
Number of mobile internet subscribers,Has internet access? 
Number of mobile internet subscribers,Importance of using internet for business 
Number of mobile internet subscribers,Internet download speed 
Number of mobile internet subscribers,Internet halps increase sales and customers? 
Number of mobile internet subscribers,Internet helps business understand customers better? 
Number of mobile internet subscribers,Monthly cost of internet 
Number of mobile internet subscribers,Number of people that use the internet 
Number of mobile internet subscribers,Plan to use internet in the future? 
Number of mobile internet subscribers,Purchased product/ services via internet? 
Number of mobile internet subscribers,Reason business doesn't have internet access 
Number of mobile internet subscribers,Type of internet access 
Number of mobile internet subscribers,What internet is used for 
Number of mobile internet subscribers,Who can use the internet? 
Number of Ordinary Letter Posts,"Cost of telephone calls, fax, postage and internet "
Number of units connected to the electricity grid,Premises have electricity? 
Number of units connected to the electricity grid,Water/ electricity costs 
"Off net
Telephone traffic
(minutes)",Has fixed line telephone connection 
"Off net
Telephone traffic
(minutes)",Importance of using fixed line phones 
On net mobile telephone traffic (minutes),Barriers for businesses using mobile money 
On net mobile telephone traffic (minutes),Has fixed line telephone connection 
On net mobile telephone traffic (minutes),Importance of using fixed line phones 
On net mobile telephone traffic (minutes),Uses mobile phones? 
Other taxes payable by businesses (% of commercial profits),Don't understand fees and charges? 
Other taxes payable by businesses (% of commercial profits),Reason for starting business 
Other taxes payable by businesses (% of commercial profits),Registered for VAT/ sales tax? 
Other taxes payable by businesses (% of commercial profits),Total sales of business 
"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",Business manager highest level of education 
"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",Owner's highest level of education 
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Business manager highest level of education 
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Ever attended training to improve business skills? 
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Owner's highest level of education 
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",People that can use the computers 
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Who organised training 
"Passenger and freight volumes, by mode of transport",Mobile money helps save transport costs? 
"Passenger and freight volumes, by mode of transport",Where customers are located 
"Passenger and freight volumes, by mode of transport",Where suppliers are located 
Percentage of land surveyed and registered,"Cost of rent, land taxes, mortgage payments "
Private sector credit (annual growth),Ever been rejected for a business loan 
Private sector credit as a percentage of GDP,Ever been rejected for a business loan 
Private sector credit as a percentage of GDP,Has a corporate credit card? 
Procedures to register property (number),Reason for starting business 
Procedures to register property (number),Total sales of business 
Profit tax (% of commercial profits),Net profit of business 
Profit tax (% of commercial profits),Pays tax on profits? 
Profit tax (% of commercial profits),Reason for starting business 
Profit tax (% of commercial profits),Total sales of business 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Agensts only allow small transactions 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Amount received on average per transaction 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Amount sent on average per transaction 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Bank branch is too far? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Bank is expensive? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Bank offers mobile banking? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Bank services are slow? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Barriers for businesses using mobile money 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Business information safe with mobile money services? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Credit exposure reduced with use of mobile money? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Has a bank account? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,How often business communicates with bank 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,How often makes payments with mobile money 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,How often receives payments with mobile money 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Largest amount received with mobile money 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Largest amount sent with mobile money 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Mobile money allows business reach more customers? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Mobile money helps access loans? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Mobile money helps manage cash flow 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Mobile money helps recover money from customers faster? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Mobile money helps save transport costs? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Mobile money imroved efficiency of the business 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Mobile money made no difference on how business is conducted? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Mobile money providers used 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Mobile money transfer system meets business needs? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Mobile money use reduced banking transactions? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Moile money helps pay suppliers more easily 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Most used means of sending and receiving money 
